dataset,method,rep,fit_seconds
WDBC,CART,0,0.03457870001147967
WDBC,CART,1,0.033448899994255044
WDBC,CART,2,0.03353339999739546
WDBC,CART,3,0.03420180000830442
WDBC,CART,4,0.033274000001256354
WDBC,CART,5,0.03412489999027457
WDBC,CART,6,0.03331929999694694
WDBC,CART,7,0.03327709999575745
WDBC,CART,8,0.033167799992952496
WDBC,CART,9,0.03314900000987109
WDBC,ACP-global,0,0.0363255999982357
WDBC,ACP-global,1,0.03620200000295881
WDBC,ACP-global,2,0.03602939999836963
WDBC,ACP-global,3,0.03629519999958575
WDBC,ACP-global,4,0.03602409998711664
WDBC,ACP-global,5,0.03650279999419581
WDBC,ACP-global,6,0.03607000000192784
WDBC,ACP-global,7,0.03574059999664314
WDBC,ACP-global,8,0.035961700006737374
WDBC,ACP-global,9,0.03748129999439698
WDBC,ACP-node,0,0.03606299999228213
WDBC,ACP-node,1,0.03622319998976309
WDBC,ACP-node,2,0.03641679999418557
WDBC,ACP-node,3,0.036441699994611554
WDBC,ACP-node,4,0.03618149999238085
WDBC,ACP-node,5,0.03611000000091735
WDBC,ACP-node,6,0.036591099997167476
WDBC,ACP-node,7,0.03650410000409465
WDBC,ACP-node,8,0.036179500006255694
WDBC,ACP-node,9,0.036389099986990914
Wine,CART,0,0.06621200000518002
Wine,CART,1,0.0663877000042703
Wine,CART,2,0.06549860000086483
Wine,CART,3,0.06572090000554454
Wine,CART,4,0.06879370000388008
Wine,CART,5,0.06663000000116881
Wine,CART,6,0.06595440000819508
Wine,CART,7,0.06587849999777973
Wine,CART,8,0.06503199999860954
Wine,CART,9,0.0650210000021616
Wine,ACP-global,0,0.07504100000369363
Wine,ACP-global,1,0.07428230000368785
Wine,ACP-global,2,0.07427940001070965
Wine,ACP-global,3,0.07386570000380743
Wine,ACP-global,4,0.07437219998973887
Wine,ACP-global,5,0.07497819999116473
Wine,ACP-global,6,0.07651269999041688
Wine,ACP-global,7,0.07414929999504238
Wine,ACP-global,8,0.0743856000044616
Wine,ACP-global,9,0.0738034000096377
Wine,ACP-node,0,0.08238570000685286
Wine,ACP-node,1,0.08209730000817217
Wine,ACP-node,2,0.08232600000337698
Wine,ACP-node,3,0.08197159999690484
Wine,ACP-node,4,0.0879004000016721
Wine,ACP-node,5,0.12358329999551643
Wine,ACP-node,6,0.09234439999272581
Wine,ACP-node,7,0.08510070000193082
Wine,ACP-node,8,0.08488779999606777
Wine,ACP-node,9,0.08601189999899361
Ionosphere,CART,0,0.03057359998638276
Ionosphere,CART,1,0.030798499996308237
Ionosphere,CART,2,0.030673999994178303
Ionosphere,CART,3,0.03089650000038091
Ionosphere,CART,4,0.03057309999712743
Ionosphere,CART,5,0.03327220000210218
Ionosphere,CART,6,0.03129579999949783
Ionosphere,CART,7,0.03320989999338053
Ionosphere,CART,8,0.03097729998989962
Ionosphere,CART,9,0.03171019999717828
Ionosphere,ACP-global,0,0.03623589999915566
Ionosphere,ACP-global,1,0.03617439999652561
Ionosphere,ACP-global,2,0.03652569999394473
Ionosphere,ACP-global,3,0.036244400005671196
Ionosphere,ACP-global,4,0.0365419000008842
Ionosphere,ACP-global,5,0.03641509999579284
Ionosphere,ACP-global,6,0.036194300002534874
Ionosphere,ACP-global,7,0.03608170000370592
Ionosphere,ACP-global,8,0.03596059999836143
Ionosphere,ACP-global,9,0.0361302999954205
Ionosphere,ACP-node,0,0.03545969999686349
Ionosphere,ACP-node,1,0.03554029999941122
Ionosphere,ACP-node,2,0.03560829999332782
Ionosphere,ACP-node,3,0.03543649999483023
Ionosphere,ACP-node,4,0.03571740000916179
Ionosphere,ACP-node,5,0.03626789999543689
Ionosphere,ACP-node,6,0.03545480000320822
Ionosphere,ACP-node,7,0.035488199995597824
Ionosphere,ACP-node,8,0.03608930000336841
Ionosphere,ACP-node,9,0.03574490000028163
Sonar,CART,0,0.055433999994420446
Sonar,CART,1,0.054959999994025566
Sonar,CART,2,0.05496970000967849
Sonar,CART,3,0.05552280000119936
Sonar,CART,4,0.055134199996246025
Sonar,CART,5,0.054782300008810125
Sonar,CART,6,0.05442149999726098
Sonar,CART,7,0.05449399999633897
Sonar,CART,8,0.05397680000169203
Sonar,CART,9,0.0547359000047436
Sonar,ACP-global,0,0.05511129999649711
Sonar,ACP-global,1,0.05499370000325143
Sonar,ACP-global,2,0.05552160000661388
Sonar,ACP-global,3,0.05546279999543913
Sonar,ACP-global,4,0.0565509000007296
Sonar,ACP-global,5,0.05530580000777263
Sonar,ACP-global,6,0.05577750000520609
Sonar,ACP-global,7,0.05580179998651147
Sonar,ACP-global,8,0.05504520000249613
Sonar,ACP-global,9,0.05564120000053663
Sonar,ACP-node,0,0.06402299999899697
Sonar,ACP-node,1,0.06292349999421276
Sonar,ACP-node,2,0.06252970000787172
Sonar,ACP-node,3,0.06275550001009833
Sonar,ACP-node,4,0.06422380000003614
Sonar,ACP-node,5,0.06248520000372082
Sonar,ACP-node,6,0.06230689999938477
Sonar,ACP-node,7,0.06261719999019988
Sonar,ACP-node,8,0.06283650000113994
Sonar,ACP-node,9,0.0635519000061322
Pima,CART,0,0.021541699999943376
Pima,CART,1,0.0209136000048602
Pima,CART,2,0.020966899988707155
Pima,CART,3,0.021237599998130463
Pima,CART,4,0.021617699996568263
Pima,CART,5,0.021287700001266785
Pima,CART,6,0.020995300001231954
Pima,CART,7,0.02094089999445714
Pima,CART,8,0.02108619999489747
Pima,CART,9,0.02102770000055898
Pima,ACP-global,0,0.024179100000765175
Pima,ACP-global,1,0.024063799995929003
Pima,ACP-global,2,0.024244500003987923
Pima,ACP-global,3,0.024350799998501316
Pima,ACP-global,4,0.024258400007965975
Pima,ACP-global,5,0.02429139999730978
Pima,ACP-global,6,0.024225799992564134
Pima,ACP-global,7,0.024493399992934428
Pima,ACP-global,8,0.024735699989832938
Pima,ACP-global,9,0.024298600008478388
Pima,ACP-node,0,0.027072600001702085
Pima,ACP-node,1,0.02685360000759829
Pima,ACP-node,2,0.027043299996876158
Pima,ACP-node,3,0.027050100004998967
Pima,ACP-node,4,0.026881300000241026
Pima,ACP-node,5,0.02689579999423586
Pima,ACP-node,6,0.027299000008497387
Pima,ACP-node,7,0.027140299993334338
Pima,ACP-node,8,0.027111599993077107
Pima,ACP-node,9,0.027353199999197386
