dataset,method,seed,fold,accuracy,macro_f1,auc,n_nodes,depth,vif_dropped,root_agreement,feature_set_jaccard,importance_rank_corr,structural_distance
WDBC,CART,42,0,0.8947368421052632,0.8869047619047619,0.907136080952883,15,5,0,0.5,0.24442680776014114,0.29213424623709894,0.9021941638608305
WDBC,VIF+CART,42,0,0.8807017543859649,0.8707724314520431,0.9054495625592918,19,5,14,0.5,0.2603783870450537,0.2803628741024119,0.9062062012062011
WDBC,RRF-style,42,0,0.8947368421052632,0.8869047619047619,0.896700748392537,15,5,0,0.5,0.2509523809523809,0.27619244229328666,0.8663844797178131
WDBC,ACP-Gini,42,0,0.8912280701754386,0.8846620801295022,0.9091124696953726,15,5,0,0.5,0.25093153759820425,0.27609292791483864,0.9085552102218769
WDBC,CART,42,1,0.9295774647887324,0.9247403010387958,0.9663981344074624,19,5,0,0.5,0.2570979637646304,0.2503637603366955,0.9151416176416175
WDBC,VIF+CART,42,1,0.9436619718309859,0.9397922408310366,0.9503391986432055,23,5,14,0.4,0.30669392336059004,0.30412801170921017,0.8987499175708668
WDBC,RRF-style,42,1,0.9190140845070423,0.9129426503711799,0.9580771676913292,19,5,0,0.5,0.2136596119929454,0.2320076372363933,0.9044947336614003
WDBC,ACP-Gini,42,1,0.9014084507042254,0.8919565217391304,0.9552151791392834,21,5,0,0.5,0.2198885682219016,0.1818227967895538,0.9267878417878417
Wine,CART,42,0,0.7473068636503539,0.7212125044353737,0.7899754235822677,107,6,0,1.0,1.0,0.5810101010101011,0.6065766865248343
Wine,VIF+CART,42,0,0.7485380116959064,0.7217557097075169,0.7915792530335113,107,6,1,1.0,1.0,0.6993939393939395,0.5970472346366473
Wine,RRF-style,42,0,0.7313019390581718,0.7046494349672122,0.779847337459583,103,6,0,1.0,0.9139393939393937,0.579519991365074,0.6164568069029313
Wine,ACP-Gini,42,0,0.7349953831948292,0.6977886977886978,0.7805957232302205,103,6,0,1.0,0.9575757575757573,0.7666666666666665,0.6102039690644929
Wine,CART,42,1,0.7306034482758621,0.7110461015676004,0.7792183786853994,109,6,0,1.0,0.9636363636363635,0.6064646464646464,0.6047503489907966
Wine,VIF+CART,42,1,0.729679802955665,0.7105007122403003,0.7803347707152744,109,6,1,1.0,1.0,0.7501010101010102,0.5763875757671778
Wine,RRF-style,42,1,0.7352216748768473,0.711129450259885,0.7847332165800539,109,6,0,1.0,0.8652525252525253,0.5963163874820109,0.6164603731946741
Wine,ACP-Gini,42,1,0.7306034482758621,0.7147811698167023,0.784455342686653,111,6,0,1.0,0.9494949494949493,0.6888888888888889,0.5817896052076452
Ionosphere,CART,42,0,0.8181818181818182,0.7884297520661157,0.9007585335018963,19,6,0,0.5,0.27242171408838073,0.2927644343256292,0.9169989269989268
Ionosphere,VIF+CART,42,0,0.8181818181818182,0.7884297520661157,0.9007585335018963,19,6,2,0.5,0.2775615125615126,0.2984779716725866,0.9191103649436981
Ionosphere,RRF-style,42,0,0.8181818181818182,0.7884297520661157,0.9304677623261693,19,6,0,0.5,0.2104513387846721,0.2259876770521719,0.9285399785399785
Ionosphere,ACP-Gini,42,0,0.8181818181818182,0.7884297520661157,0.9007585335018963,19,6,0,0.5,0.2195034595034595,0.21541300821786655,0.9329826654826655
Ionosphere,CART,42,1,0.8514285714285714,0.8259106213651668,0.8802437641723356,17,5,0,0.5,0.24139249639249635,0.279533452379961,0.9317230917230918
Ionosphere,VIF+CART,42,1,0.8514285714285714,0.8259106213651668,0.8802437641723356,17,5,1,0.7,0.2889003589003589,0.3465689840138721,0.9034040034040032
Ionosphere,RRF-style,42,1,0.8628571428571429,0.842436974789916,0.8804563492063492,17,5,0,0.5,0.23632275132275132,0.280883841536618,0.9408592641925975
Ionosphere,ACP-Gini,42,1,0.8514285714285714,0.8221544715447154,0.9159580498866213,17,6,0,0.5,0.21394198394198394,0.2057675466890103,0.9219573944573944
Sonar,CART,42,0,0.625,0.6221704704238472,0.7107606679035251,17,4,0,0.4,0.13196630529963865,0.1304376059295787,0.9401505901505902
Sonar,VIF+CART,42,0,0.7211538461538461,0.7190498369818352,0.7424860853432282,19,5,20,0.5,0.10072446072446072,0.07072419966672194,0.9585307285307285
Sonar,RRF-style,42,0,0.6826923076923077,0.6812482585678462,0.7345083487940631,17,4,0,0.4,0.10319865319865316,0.10421869283106894,0.9478632478632478
Sonar,ACP-Gini,42,0,0.6346153846153846,0.6333951762523191,0.7294990723562154,17,4,0,0.4,0.15987876321209654,0.16700638602218973,0.9327050727050726
Sonar,CART,42,1,0.7596153846153846,0.7595931576514101,0.7581845238095237,15,5,0,0.3,0.11339981006647674,0.10141540741553688,0.9640481740481739
Sonar,VIF+CART,42,1,0.7019230769230769,0.7016748403812343,0.7399553571428572,17,6,18,0.3,0.13757988924655593,0.13316250032416993,0.9618571243571243
Sonar,RRF-style,42,1,0.7596153846153846,0.7595931576514101,0.7581845238095237,15,5,0,0.3,0.09059964726631392,0.0830287975720542,0.9617586117586115
Sonar,ACP-Gini,42,1,0.6923076923076923,0.6923076923076923,0.693638392857143,17,5,0,0.3,0.0774976874976875,0.03691674143805667,0.9565475265475263
Pima,CART,42,0,0.71875,0.68359375,0.7633134328358209,63,6,0,1.0,0.8801587301587303,0.39049367318583467,0.6989836375766124
Pima,VIF+CART,42,0,0.71875,0.68359375,0.7633134328358209,63,6,0,1.0,0.8801587301587303,0.39049367318583467,0.6989836375766124
Pima,RRF-style,42,0,0.7369791666666666,0.6857839602693002,0.7843582089552239,55,6,0,1.0,0.8015873015873015,0.4609555844910195,0.7176703233609053
Pima,ACP-Gini,42,0,0.7083333333333334,0.6743791641429436,0.713865671641791,59,6,0,1.0,0.95,0.42645502645502653,0.7285913983275965
Pima,CART,42,1,0.7083333333333334,0.6897417400086567,0.7517313432835822,51,6,0,1.0,0.8603174603174604,0.6602639194370296,0.6584689246316291
Pima,VIF+CART,42,1,0.7083333333333334,0.6897417400086567,0.7517313432835822,51,6,0,1.0,0.8603174603174604,0.6602639194370296,0.6584689246316291
Pima,RRF-style,42,1,0.7109375,0.6912355936746181,0.7581641791044775,51,6,0,1.0,0.6557407407407408,0.7098097955067174,0.7178652900334564
Pima,ACP-Gini,42,1,0.6822916666666666,0.6538904813972044,0.7262686567164178,53,6,0,1.0,0.975,0.7624338624338625,0.698554273710059
